#id,enabled / disabled,"ship's ui name ($ - class, % - number, & - year)",country name,ship's type name,use this name till year,,,,,
@name,enabled,nameUi,country,shipType,tillYear,#suggested,#problems,#infoLink,#textBackup,#nameBackup
1571,,Branlebas,france,dd,,,,,,
1572,,Étendard,france,dd,,,,,,
1573,,Fanfare,france,dd,,,,,,
1574,,Fanion,france,dd,,,,,,
1575,,Gabion,france,dd,,,,,,
1576,,Glaive,france,dd,,,,,,
1577,,Oriflamme,france,dd,,,,,,
1578,,Poignard,france,dd,,,,,,
1579,,Sabretache,france,dd,,,,,,
1580,,Sape,france,dd,,,,,,
1581,,Aspirant Herber,france,dd,,,,,,
1582,,Carabinier,france,dd,,,,,,
1583,,Enseigne Henry,france,dd,,,,,,
1584,,Hussard,france,dd,,,,,,
1585,,Lansquenet,france,dd,,,,,,
1586,,Mameluck,france,dd,,,,,,
1587,,Spahi,france,dd,,,,,,
1588,,Voltigeur,france,dd,,,,,,
1589,,Tirailleur,france,dd,,,,,,
1590,,Chasseur,france,dd,,,,,,
1591,,Actée,france,dd,,,,,,
1592,,Cavalier,france,dd,,,,,,
1593,,Fantassin,france,dd,,,,,,
1594,,Janissaire,france,dd,,,,,,
1595,,Bouclier,france,dd,,,,,,
1596,,Boutefeu,france,dd,,,,,,
1597,,Capitaine Mehl,france,dd,,,,,,
1598,,Casque,france,dd,,,,,,
1599,,Cimeterre,france,dd,,,,,,
1600,,Commandant Bory,france,dd,,,,,,
1601,,Commandant Rivière,france,dd,,,,,,
1602,,Dague,france,dd,,,,,,
1603,,Dehorter,france,dd,,,,,,
1604,,Faulx,france,dd,,,,,,
1605,,Fourche,france,dd,,,,,,
1606,,Francis Garnier,france,dd,,,,,,
1607,,Bisson,france,dd,,,,,,
1608,,Renaudin,france,dd,,,,,,
1609,,Commandant Lucas,france,dd,,,,,,
1610,,Protet,france,dd,,,,,,
1611,,Mangini,france,dd,,,,,,
1612,,Magon,france,dd,,,,,,
1613,,Opiniâtre,france,dd,,,,,,
1614,,Aventurier,france,dd,,,,,,
1615,,Téméraire,france,dd,,,,,,
1616,,Intrépide,france,dd,,,,,,
1617,,Enseigne Roux,france,dd,,,,,,
1618,,Mécanicien Principal Lestin,france,dd,,,,,,
1619,,Enseigne Gabolde,france,dd,,,,,,
1620,,Algérien,france,dd,,,,,,
1621,,Annamite,france,dd,,,,,,
1622,,Arabe,france,dd,,,,,,
1623,,Bambara,france,dd,,,,,,
1624,,Hova,france,dd,,,,,,
1625,,Kabyle,france,dd,,,,,,
1626,,Marocain,france,dd,,,,,,
1627,,Sakalave,france,dd,,,,,,
1628,,Sénégalais,france,dd,,,,,,
1629,,Somali,france,dd,,,,,,
1630,,Tonkinois,france,dd,,,,,,
1631,,Touareg,france,dd,,,,,,
1632,,Chacal,france,dd,,,,,,
1633,,Jaguar,france,dd,,,,,,
1634,,Léopard,france,dd,,,,,,
1635,,Lynx,france,dd,,,,,,
1636,,Panthère,france,dd,,,,,,
1637,,Tigre,france,dd,,,,,,
1638,,Bison,france,dd,,,,,,
1639,,Guépard,france,dd,,,,,,
1640,,Lion,france,dd,,,,,,
1641,,Valmy,france,dd,,,,,,
1642,,Verdun,france,dd,,,,,,
1643,,Vauban,france,dd,,,,,,
1644,,Aigle,france,dd,,,,,,
1645,,Vautour,france,dd,,,,,,
1646,,Albatros,france,dd,,,,,,
1647,,Gerfaut,france,dd,,,,,,
1648,,Milan,france,dd,,,,,,
1649,,Épervier,france,dd,,,,,,
1650,,Cassard,france,dd,,,,,,
1651,,Le Chevalier Paul,france,dd,,,,,,
1652,,Kersaint,france,dd,,,,,,
1653,,Maillé Brézé,france,dd,,,,,,
1654,,Tartu,france,dd,,,,,,
1655,,Vauquelin,france,dd,,,,,,
1656,,Fantasque,france,dd,,,,,,
1657,,Le Malin,france,dd,,,,,,
1658,,Terrible,france,dd,,,,,,
1659,,L'Indomptable,france,dd,,,,,,
1660,,L'Audacieux,france,dd,,,,,,
1661,,Triomphant,france,dd,,,,,,
1662,,Mogador,france,dd,,,,,,
1663,,Volta,france,dd,,,,,,
1664,,Bourrasque,france,dd,,,,,,
1665,,Cyclone,france,dd,,,,,,
1666,,Mistral,france,dd,,,,,,
1667,,Orage,france,dd,,,,,,
1668,,Ouragan,france,dd,,,,,,
1669,,Simoun,france,dd,,,,,,
1670,,Sirocco,france,dd,,,,,,
1671,,Tempête,france,dd,,,,,,
1672,,Tornade,france,dd,,,,,,
1673,,Tramontane,france,dd,,,,,,
1674,,Trombe,france,dd,,,,,,
1675,,Typhon,france,dd,,,,,,
1676,,L'Adroit,france,dd,,,,,,
1677,,Basque,france,dd,,,,,,
1678,,Bordelais,france,dd,,,,,,
1679,,Boulonnais,france,dd,,,,,,
1680,,Brestois,france,dd,,,,,,
1681,,Forbin,france,dd,,,,,,
1682,,Frondeur,france,dd,,,,,,
1683,,L'Alcyon,france,dd,,,,,,
1684,,La Palme,france,dd,,,,,,
1685,,La Railleuse,france,dd,,,,,,
1686,,Le Fortuné,france,dd,,,,,,
1687,,Le Mars,france,dd,,,,,,
1688,,Foudroyant,france,dd,,,,,,
1689,,Fougueux,france,dd,,,,,,
1690,,Le Hardi,france,dd,,,,,,
1691,,Fleuret,france,dd,,,,,,
1692,,Épée,france,dd,,,,,,
1693,,Mameluk,france,dd,,,,,,
1694,,Le Flibustier,france,dd,,,,,,
1695,,Siroco,france,dd,,,,,,
1696,,Durandal,france,tb,,,,,,
1697,,Hallebarde,france,tb,,,,,,
1698,,Fauconneau,france,tb,,,,,,
1699,,Espingole,france,tb,,,,,,
1700,,Framée,france,tb,,,,,,
1701,,Yatagan,france,tb,,,,,,
1702,,Pique,france,tb,,,,,,
1703,,Épée,france,tb,,,,,,
1704,,Rochefortais,france,tb,,,,,,
1705,,Pertuisane,france,tb,,,,,,
1706,,Escopette,france,tb,,,,,,
1707,,Flamberge,france,tb,,,,,,
1708,,Rapière,france,tb,,,,,,
1709,,Arbalète,france,tb,,,,,,
1710,,Arc,france,tb,,,,,,
1711,,Arquebuse,france,tb,,,,,,
1712,,Baliste,france,tb,,,,,,
1713,,Bélier,france,tb,,,,,,
1714,,Bombarde,france,tb,,,,,,
1715,,Carabine,france,tb,,,,,,
1716,,Catapulte,france,tb,,,,,,
1717,,Dard,france,tb,,,,,,
1718,,Épieu,france,tb,,,,,,
1719,,Francisque,france,tb,,,,,,
1720,,Fronde,france,tb,,,,,,
1721,,Harpon,france,tb,,,,,,
1722,,Javeline,france,tb,,,,,,
1723,,Mousquet,france,tb,,,,,,
1724,,Mousqueton,france,tb,,,,,,
1725,,Pistolet,france,tb,,,,,,
1726,,Sabre,france,tb,,,,,,
1727,,Sagaie,france,tb,,,,,,
1728,,Sarbacane,france,tb,,,,,,
1729,,Carquois,france,tb,,,,,,
1730,,Claymore,france,tb,,,,,,
1731,,Cognée,france,tb,,,,,,
1732,,Coutelas,france,tb,,,,,,
1733,,Fleuret,france,tb,,,,,,
1734,,Hache,france,tb,,,,,,
1735,,Massue,france,tb,,,,,,
1736,,Mortier,france,tb,,,,,,
1737,,Obusier,france,tb,,,,,,
1738,,Pierrer,france,tb,,,,,,
1739,,Stylet,france,tb,,,,,,
1740,,Trident,france,tb,,,,,,
1741,,Tromblon,france,tb,,,,,,
1742,,Plongeur,france,ss,,,,,,
1743,,Gymnote,france,ss,,,,,,
1744,,Gustave Zédé,france,ss,,,,,,
1745,,Morse,france,ss,,,,,,
1746,,Narval,france,ss,,,,,,
1747,,Sirène,france,ss,,,,,,
1748,,Triton,france,ss,,,,,,
1749,,Farfadet,france,ss,,,,,,
1750,,Korrigan,france,ss,,,,,,
1751,,Gnôme,france,ss,,,,,,
1752,,Lutin,france,ss,,,,,,
1753,,Français,france,ss,,,,,,
1754,,Algérien,france,ss,,,,,,
1755,,Espadon,france,ss,,,,,,
1756,,Silure,france,ss,,,,,,
1757,,Naïade,france,ss,,,,,,
1758,,Protée,france,ss,,,,,,
1759,,Perle,france,ss,,,,,,
1760,,Esturgeon,france,ss,,,,,,
1761,,Bonite,france,ss,,,,,,
1762,,Thon,france,ss,,,,,,
1763,,Souffleur,france,ss,,,,,,
1764,,Dorade,france,ss,,,,,,
1765,,Lynx,france,ss,,,,,,
1766,,Ludion,france,ss,,,,,,
1767,,Loutre,france,ss,,,,,,
1768,,Castor,france,ss,,,,,,
1769,,Phoque,france,ss,,,,,,
1770,,Otarie,france,ss,,,,,,
1771,,Méduse,france,ss,,,,,,
1772,,Oursin,france,ss,,,,,,
1773,,Grondin,france,ss,,,,,,
1774,,Anguille,france,ss,,,,,,
1775,,Alose,france,ss,,,,,,
1776,,Truite,france,ss,,,,,,
1777,,Dauphin,france,ss,,,,,,
1778,,Tarasque,france,ss,,,,,,
1779,,Aigrette,france,ss,,,,,,
1780,,Cigogne,france,ss,,,,,,
1781,,Argonaute,france,ss,,,,,,
1782,,Topaze,france,ss,,,,,,
1783,,Émeraude,france,ss,,,,,,
1784,,Opale,france,ss,,,,,,
1785,,Rubis,france,ss,,,,,,
1786,,Saphir,france,ss,,,,,,
1787,,Turquoise,france,ss,,,,,,
1788,,Circé,france,ss,,,,,,
1789,,Calypso,france,ss,,,,,,
1790,,Guèpe,france,ss,,,,,,
1791,,Pluviôse,france,ss,,,,,,
1792,,Ventôse,france,ss,,,,,,
1793,,Germinal,france,ss,,,,,,
1794,,Floréal,france,ss,,,,,,
1795,,Priarial,france,ss,,,,,,
1796,,Messidor,france,ss,,,,,,
1797,,Thermidor,france,ss,,,,,,
1798,,Fructidor,france,ss,,,,,,
1799,,Vendémiaire,france,ss,,,,,,
1800,,Papin,france,ss,,,,,,
1801,,Fresnel,france,ss,,,,,,
1802,,Berthelot,france,ss,,,,,,
1803,,Monge,france,ss,,,,,,
1804,,Ampère,france,ss,,,,,,
1805,,Gay-Lussac,france,ss,,,,,,
1806,,Watt,france,ss,,,,,,
1807,,Cugnot,france,ss,,,,,,
1808,,Giffard,france,ss,,,,,,
1809,,Archimède,france,ss,,,,,,
1810,,Charles Brun,france,ss,,,,,,
1811,,Mariotte,france,ss,,,,,,
1812,,Brumaire,france,ss,,,,,,
1813,,Frimaire,france,ss,,,,,,
1814,,Nivôse,france,ss,,,,,,
1815,,Foucault,france,ss,,,,,,
1816,,Euler,france,ss,,,,,,
1817,,Franklin,france,ss,,,,,,
1818,,Faraday,france,ss,,,,,,
1819,,Volta,france,ss,,,,,,
1820,,Newton,france,ss,,,,,,
1821,,Montgolfier,france,ss,,,,,,
1822,,Bernouilli,france,ss,,,,,,
1823,,Joule,france,ss,,,,,,
1824,,Coulomb,france,ss,,,,,,
1825,,Arago,france,ss,,,,,,
1826,,Curie,france,ss,,,,,,
1827,,Le Verrier,france,ss,,,,,,
1828,,Amiral Bourgois,france,ss,,,,,,
1829,,Clorinde,france,ss,,,,,,
1830,,Cornélie,france,ss,,,,,,
1831,,Néréide,france,ss,,,,,,
1832,,Amphitrite,france,ss,,,,,,
1833,,Astrée,france,ss,,,,,,
1834,,Artémis,france,ss,,,,,,
1835,,Aréthuse,france,ss,,,,,,
1836,,Atalante,france,ss,,,,,,
1837,,Amarante,france,ss,,,,,,
1838,,Ariane,france,ss,,,,,,
1839,,Andromaque,france,ss,,,,,,
1840,,Bellone,france,ss,,,,,,
1841,,Hermione,france,ss,,,,,,
1842,,Gorgone,france,ss,,,,,,
1843,,Dupuy de Lôme,france,ss,,,,,,
1844,,Sané,france,ss,,,,,,
1845,,Diane,france,ss,,,,,,
1846,,Daphné,france,ss,,,,,,
1847,,Armide,france,ss,,,,,,
1848,,Antigone,france,ss,,,,,,
1849,,Amazone,france,ss,,,,,,
1850,,Joessel,france,ss,,,,,,
1851,,Fulton,france,ss,,,,,,
1852,,Lagrange,france,ss,,,,,,
1853,,Regnault,france,ss,,,,,,
1854,,Romazotti,france,ss,,,,,,
1855,,Jean-Autric,france,ss,,,,,,
1856,,Léon Mignot,france,ss,,,,,,
1857,,Pierre Marast,france,ss,,,,,,
1858,,Jean Roulier,france,ss,,,,,,
1859,,Victor Reveille,france,ss,,,,,,
1860,,René Audry,france,ss,,,,,,
1861,,Helbronn,france,ss,,,,,,
1862,,Roland Morillot,france,ss,,,,,,
1863,,Trinité-Schillemans,france,ss,,,,,,
1864,,Carissan,france,ss,,,,,,
1865,,Jean Corre,france,ss,,,,,,
1866,,O'Byrne,france,ss,,,,,,
1867,,Henri Fournier,france,ss,,,,,,
1868,,Louis Dupetit-Thouars,france,ss,,,,,,
1869,,Maurice Callot,france,ss,,,,,,
1870,,Pierre Chailley,france,ss,,,,,,
1871,,Galatée,france,ss,,,,,,
1872,,Ondine,france,ss,,,,,,
1873,,Danaé,france,ss,,,,,,
1874,,Eurydicé,france,ss,,,,,,
1875,,Nymphe,france,ss,,,,,,
1876,,Doris,france,ss,,,,,,
1877,,Thétis,france,ss,,,,,,
1878,,Sultane,france,ss,,,,,,
1879,,Vestale,france,ss,,,,,,
1880,,Orion,france,ss,,,,,,
1881,,Antiope,france,ss,,,,,,
1882,,Méduse,france,ss,,,,,,
1883,,Oréade,france,ss,,,,,,
1884,,Orphée,france,ss,,,,,,
1885,,La Psyché,france,ss,,,,,,
1886,,La Sibylle,france,ss,,,,,,
1887,,Requin,france,ss,,,,,,
1888,,Caïman,france,ss,,,,,,
1889,,Marsouin,france,ss,,,,,,
1890,,Diamant,france,ss,,,,,,
1891,,Nautilus,france,ss,,,,,,
1892,,Redoutable,france,ss,,,,,,
1893,,Vengeur,france,ss,,,,,,
1894,,Achéron,france,ss,,,,,,
1895,,Achille,france,ss,,,,,,
1896,,Actéon,france,ss,,,,,,
1897,,Agosta,france,ss,,,,,,
1898,,Ajax,france,ss,,,,,,
1899,,Argo,france,ss,,,,,,
1900,,Bévéziers,france,ss,,,,,,
1901,,Casabianca,france,ss,,,,,,
1902,,Le Centaure,france,ss,,,,,,
1903,,Le Conquérant,france,ss,,,,,,
1904,,L'Espoir,france,ss,,,,,,
1905,,Le Héros,france,ss,,,,,,
1906,,Le Glorieux,france,ss,,,,,,
1907,,Ouessant,france,ss,,,,,,
1908,,Pascal,france,ss,,,,,,
1909,,Pasteur,france,ss,,,,,,
1910,,Pégase,france,ss,,,,,,
1911,,Persée,france,ss,,,,,,
1912,,Phénix,france,ss,,,,,,
1913,,Henri Poincare,france,ss,,,,,,
1914,,Poncelet,france,ss,,,,,,
1915,,Prométhée,france,ss,,,,,,
1916,,Sfax,france,ss,,,,,,
1917,,Sidi-Ferruch,france,ss,,,,,,
1918,,Le Tonnant,france,ss,,,,,,
1919,,Surcouf,france,ss,,,,,,
1920,,Junon,france,ss,,,,,,
1921,,Céres,france,ss,,,,,,
1922,,Iris,france,ss,,,,,,
1923,,Minerve,france,ss,,,,,,
1924,,Pallas,france,ss,,,,,,
1925,,Vénus,france,ss,,,,,,
1926,,Africaine,france,ss,,,,,,
1927,,Andromède,france,ss,,,,,,
1928,,Aurore,france,ss,,,,,,
1929,,Créole,france,ss,,,,,,
1930,,Favorite,france,ss,,,,,,
1931,,Morillot,france,ss,,,,,,
###,,,germany,,,,,,,
1933,,Kaiser Wilhelm I,germany,bb,,,,,,
1934,,Kaiser Friedrich III,germany,bb,,,,,,
1935,,Kaiser Wilhelm II,germany,bb,,,,,,
1936,,Kaiserin Augusta,germany,bb,,,,,,
1937,,Kaiserin Victoria,germany,bb,,,,,,
1938,,Kaiserin Auguste Viktoria,germany,bb,,,,,,
1939,,Konig Friedrich I von Preussen,germany,bb,,,,,,
1940,,Konig Friedrich Wilhelm I von Preussen,germany,bb,,,,,,
1941,,Kaiser Barbarossa,germany,bb,,,,,,
1942,,Konig Friedrich II der Grosse von Preussen,germany,bb,,,,,,
1943,,Konig Friedrich Wilhelm II von Preussen,germany,bb,,,,,,
1944,,Konig Friedrich Wilhelm III von Preussen,germany,bb,,,,,,
1945,,Konig Friedrich Wilhelm IV von Preussen,germany,bb,,,,,,
1946,,Kurfurst Friedrich Wilhelm der Grosse,germany,bb,,,,,,
1947,,Konigin Luise von Preussen,germany,bb,,,,,,
1948,,Konigin Elisabeth von Preussen,germany,bb,,,,,,
1949,,Konig Maximilian I von Bayern,germany,bb,,,,,,
1950,,Konigin Karoline von Bayern,germany,bb,,,,,,
1951,,"Prinzessin Ludovika von Bayern, Herzogin in Bayern",germany,bb,,,,,,
1952,,Konig Ludwig I von Bayern,germany,bb,,,,,,
1953,,Prinzessin Adelgunde von Bayern,germany,bb,,,,,,
1954,,Konigin Therese von Bayern,germany,bb,,,,,,
1955,,Konig Maximilian II Joseph von Bayern,germany,bb,,,,,,
1956,,Konigin Marie von Bayern,germany,bb,,,,,,
1957,,Konig Ludwig II von Bayern,germany,bb,,,,,,
1958,,Konig Otto I von Bayern,germany,bb,,,,,,
1959,,Prinzregent Luitpold von Bayern,germany,bb,,,,,,
1960,,Prinzregent Ludwig von Bayern,germany,bb,,,,,,
1961,,Kronprinz Wilhelm,germany,bb,,,,,,
1962,,Kronprinzessin Cecilie,germany,bb,,,,,,
1963,,Prinz Eitel Friedrich,germany,bb,,,,,,
1964,,Prinz Adalbert,germany,bb,,,,,,
1965,,Prinz August Wilhelm,germany,bb,,,,,,
1966,,Prinzessin Viktoria Luise,germany,bb,,,,,,
1967,,Konig Friedrich August I von Sachsen,germany,bb,,,,,,
1968,,Konigin Amalie von Sachsen,germany,bb,,,,,,
1969,,Prinzessin Maria Augusta von Sachsen,germany,bb,,,,,,
1970,,Konig Anton von Sachsen,germany,bb,,,,,,
1971,,Konigin Maria Theresia von Sachsen,germany,bb,,,,,,
1972,,Konig Friedrich August II von Sachsen,germany,bb,,,,,,
1973,,Konigin Karoline Ferdinande von Sachsen,germany,bb,,,,,,
1974,,Konigin Maria Anna von Sachsen,germany,bb,,,,,,
1975,,Konig Johann von Sachsen,germany,bb,,,,,,
1976,,Konigin Amalie Auguste von Sachsen,germany,bb,,,,,,
1977,,Prinzessin Anna Maria von Sachsen,germany,bb,,,,,,
1978,,Prinzessin Margaretha von Sachsen,germany,bb,,,,,,
1979,,Prinzessin Sophie Maria von Sachsen,germany,bb,,,,,,
1980,,Konig Albert von Sachsen,germany,bb,,,,,,
1981,,Konigin Carola von Sachsen,germany,bb,,,,,,
1982,,Konig Georg von Sachsen,germany,bb,,,,,,
1983,,Konig Friedrich August III von Sachsen,germany,bb,,,,,,
1984,,Konig Friedrich I von Wurttemberg,germany,bb,,,,,,
1985,,Konig Wilhelm I von Wurttemberg,germany,bb,,,,,,
1986,,Konigin Katharina von Wurttemberg,germany,bb,,,,,,
1987,,Konigin Pauline Therese von Wurttemberg,germany,bb,,,,,,
1988,,Prinzessin Katharina von Wurttemberg,germany,bb,,,,,,
1989,,Konig Karl I von Wurttemberg,germany,bb,,,,,,
1990,,Konigin Olga von Wurttemberg,germany,bb,,,,,,
1991,,Konig Wilhelm II von Wurttemberg,germany,bb,,,,,,
1992,,Grossherzog Leopold I von Baden,germany,bb,,,,,,
1993,,Grossherzogin Sophie Wilhelmine von Baden,germany,bb,,,,,,
1994,,Grossherzogin Luise von Baden,germany,bb,,,,,,
1995,,Grossherzog Friedrich I von Baden,germany,bb,,,,,,
1996,,Grossherzog Ludwig I von Hessen und bei Rhein,germany,bb,,,,,,
1997,,Grossherzogin Luise Henriette von Hessen und bei Rhein,germany,bb,,,,,,
1998,,Grossherzog Ludwig II von Hessen und bei Rhein,germany,bb,,,,,,
1999,,Grossherzogin Wilhelmine Luise von Hessen und bei Rhein,germany,bb,,,,,,
2000,,Grossherzog Ludwig III von Hessen und bei Rhein,germany,bb,,,,,,
2001,,Grossherzogin Mathilde Karoline von Hessen und bei Rhein,germany,bb,,,,,,
2002,,Grossherzog Ludwig IV von Hessen und bei Rhein,germany,bb,,,,,,
2003,,Grossherzogin Alice von Hessen und bei Rhein,germany,bb,,,,,,
2004,,Grossherzog Paul Friedrich von Mecklenburg-Schwerin,germany,bb,,,,,,
2005,,Grossherzogin Alexandrine von Mecklenburg-Schwerin,germany,bb,,,,,,
2006,,Grossherzog Friedrich Franz II von Mecklenburg-Schwerin,germany,bb,,,,,,
2007,,Grossherzogin Auguste von Mecklenburg-Schwerin,germany,bb,,,,,,
2008,,Grossherzogin Anna von Mecklenburg-Schwerin,germany,bb,,,,,,
2009,,Grossherzogin Marie von Mecklenburg-Schwerin,germany,bb,,,,,,
2010,,Herzog Georg zu Mecklenburg,germany,bb,,,,,,
2011,,Grossherzog Georg von Mecklenburg-Strelitz,germany,bb,,,,,,
2012,,Grossherzogin Marie von Mecklenburg-Strelitz,germany,bb,,,,,,
2013,,Grossherzog August I von Oldenburg,germany,bb,,,,,,
2014,,Herzogin Amalie zu Oldenburg,germany,bb,,,,,,
2015,,Grossherzogin Cacile von Oldenburg,germany,bb,,,,,,
2016,,Grossherzog Peter II von Oldenburg,germany,bb,,,,,,
2017,,Grossherzogin Elisabeth von Oldenburg,germany,bb,,,,,,
2018,,Prinz Karl Bernhard von Sachsen-Weimar-Eisenach,germany,bb,,,,,,
2019,,Grossherzog Karl Friedrich von Sachsen-Weimar-Eisenach,germany,bb,,,,,,
2020,,Prinzessin Maria von Sachsen-Weimar-Eisenach,germany,bb,,,,,,
2021,,Grossherzog Karl Alexander von Sachsen-Weimar-Eisenach,germany,bb,,,,,,
2022,,Grossherzogin Wilhelmina Sophie von Sachsen-Weimar-Eisenach,germany,bb,,,,,,
2023,,Grossherzog Wilhelm Ernst von Sachsen-Weimar-Eisenach,germany,bb,,,,,,
2024,,Grossherzogin Caroline Elisabeth von Sachsen-Weimar-Eisenach,germany,bb,,,,,,
2025,,Prinzessin Luise Amelie Stephanie von Baden,germany,bb,,,,,,
2026,,Herzog Friedrich I von Anhalt,germany,ca,,,,,,
2027,,Herzogin Antoniette von Anhalt,germany,ca,,,,,,
2028,,Herzog Joseph von Sachsen-Altenburg,germany,ca,,,,,,
2029,,Herzogin Amalie von Sachsen-Altenburg,germany,ca,,,,,,
2030,,Herzog Georg von Sachsen-Altenburg,germany,ca,,,,,,
2031,,Herzogin Marie von Sachsen-Altenburg,germany,ca,,,,,,
2032,,Herzog Ernst I von Sachsen-Altenburg,germany,ca,,,,,,
2033,,Herzogin Agnes von Sachsen-Altenburg,germany,ca,,,,,,
2034,,"Herzog Friedrich Wilhelm von Braunschweig, der Schwarze Herzog",germany,ca,,,,,,
2035,,Herzog Wilhelm von Braunschweig,germany,ca,,,,,,
2036,,Herzog Ernst August von Braunschweig,germany,ca,,,,,,
2037,,Prinzessin Luise von Sachsen-Gotha-Altenburg,germany,ca,,,,,,
2038,,Herzogin Marie von Sachsen-Coburg und Gotha,germany,ca,,,,,,
2039,,Herzog Ernst I von Sachsen-Coburg und Gotha,germany,ca,,,,,,
2040,,Herzog Ernst II von Sachsen-Coburg und Gotha,germany,ca,,,,,,
2041,,Herzogin Alexandrine von Sachsen-Coburg und Gotha,germany,ca,,,,,,
2042,,Herzog Alfred von Sachsen-Coburg und Gotha,germany,ca,,,,,,
2043,,Herzog Bernhard II von Sachsen-Meiningen,germany,ca,,,,,,
2044,,Herzogin Marie von Sachsen-Meiningen,germany,ca,,,,,,
2045,,Herzog Georg II von Sachsen-Meiningen,germany,ca,,,,,,
2046,,"Prinzessin Charlotte von Preussen, Erbprinzessin von Sachsen-Meiningen",germany,ca,,,,,,
2047,,Herzogin Feodora von Sachsen-Meiningen,germany,ca,,,,,,
2048,,Herzog Bernhard III von Sachsen-Meiningen,germany,ca,,,,,,
2049,,Furst Leopold II zur Lippe,germany,ca,,,,,,
2050,,Furst Leopold III zur Lippe,germany,ca,,,,,,
2051,,Furstin Elisabeth zur Lippe,germany,ca,,,,,,
2052,,Furst Woldemar zur Lippe,germany,ca,,,,,,
2053,,Furst Friedrich Gunther von Schwarzburg-Rudolstadt,germany,ca,,,,,,
2054,,Furst Albert von Schwarzburg-Rudolstadt,germany,ca,,,,,,
2055,,Furst Georg Albert von Schwarzburg-Rudolstadt,germany,ca,,,,,,
2056,,Furst Gunther Friedrich Carl II von Schwarzburg-Sondershausen,germany,ca,,,,,,
2057,,Furstin Mathilde von Schwarzburg-Sondershausen,germany,ca,,,,,,
2058,,Furst Georg II von Waldeck-Pyrmont,germany,ca,,,,,,
2059,,Furstin Regent Emma von Waldeck-Pyrmont,germany,ca,,,,,,
2060,,Furst Georg Victor von Waldeck-Pyrmont,germany,ca,,,,,,
2061,,Furstin Helene von Waldeck-Pyrmont,germany,ca,,,,,,
2062,,Furst Friedrich von Waldeck-Pyrmont,germany,ca,,,,,,
2063,,Freie Hansestadt Bremen,germany,ca,,,,,,
2064,,Freie und Hansestadt Hamburg,germany,ca,,,,,,
2065,,Freie und Hansestadt Lubeck,germany,ca,,,,,,
2066,,Reichsland Elass-Lothringen,germany,ca,,,,,,
2067,,Helmuth Karl Bernhard Graf von Moltke,germany,ca,,,,,,
2068,,Albrecht Theodor Emil Graf von Roon,germany,ca,,,,,,
2069,,Berlin,germany,cl,,,,,,
2070,,Hamburg,germany,cl,,,,,,
2071,,Munchen,germany,cl,,,,,,
2072,,Koln,germany,cl,,,,,,
2073,,Frankfurt,germany,cl,,,,,,
2074,,Stuttgart,germany,cl,,,,,,
2075,,Dusseldorf,germany,cl,,,,,,
2076,,Leipzig,germany,cl,,,,,,
2077,,Dortmund,germany,cl,,,,,,
2078,,Essen,germany,cl,,,,,,
2079,,Bremen,germany,cl,,,,,,
2080,,Dresden,germany,cl,,,,,,
2081,,Nurnberg,germany,cl,,,,,,
2082,,Duisburg,germany,cl,,,,,,
2083,,Wuppertal,germany,cl,,,,,,
2084,,Bielefeld,germany,cl,,,,,,
2085,,Bonn,germany,cl,,,,,,
2086,,Munster,germany,cl,,,,,,
2087,,Mannheim,germany,cl,,,,,,
2088,,Karlsruhe,germany,cl,,,,,,
2089,,Augsburg,germany,cl,,,,,,
2090,,Wiesbaden,germany,cl,,,,,,
2091,,Chemnitz,germany,cl,,,,,,
2092,,Konigsberg,germany,cl,,,,,,
2093,,Kiel,germany,cl,,,,,,
2094,,Magdeburg,germany,cl,,,,,,
2095,,Freiburg,germany,cl,,,,,,
2096,,Krefeld,germany,cl,,,,,,
2097,,Mainz,germany,cl,,,,,,
2098,,Lubeck,germany,cl,,,,,,
2099,,Erfurt,germany,cl,,,,,,
2100,,Oberhausen,germany,cl,,,,,,
2101,,Rostock,germany,cl,,,,,,
2102,,Kassel,germany,cl,,,,,,
2103,,Hagen,germany,cl,,,,,,
2104,,Potsdam,germany,cl,,,,,,
2105,,Saarbrucken,germany,cl,,,,,,
2106,,Ludwigshafen am Rhein,germany,cl,,,,,,
2107,,Darmstadt,germany,cl,,,,,,
2108,,Heidelberg,germany,cl,,,,,,
2109,,Regensburg,germany,cl,,,,,,
2110,,Heilbronn,germany,cl,,,,,,
2111,,Ulm,germany,cl,,,,,,
2112,,Wolfsburg,germany,cl,,,,,,
2113,,Pillau,germany,cl,,,,,,
2114,,Elbing,germany,cl,,,,,,
2115,,Neuss,germany,cl,,,,,,
2116,,Gottingen,germany,cl,,,,,,
2117,,Koblenz,germany,cl,,,,,,
2118,,Bremerhaven,germany,cl,,,,,,
2119,,Trier,germany,cl,,,,,,
2120,,Hanau,germany,cl,,,,,,
2121,,Siegen,germany,cl,,,,,,
2122,0,B,germany,dd,,,,,,
2123,0,H,germany,dd,,,,,,
2124,0,V,germany,dd,,,,,,
2125,0,S,germany,tb,,,,,,
2126,0,G,germany,tb,,,,,,
###,,,italy,,,,,,,
2128,,Kaiser Wilhelm I,germany,bc,,,,,,
2129,,Kaiser Friedrich III,germany,bc,,,,,,
2130,,Kaiser Wilhelm II,germany,bc,,,,,,
2131,,Kaiserin Augusta,germany,bc,,,,,,
2132,,Kaiserin Victoria,germany,bc,,,,,,
2133,,Kaiserin Auguste Viktoria,germany,bc,,,,,,
